start	end	text
563840	570080	because of it's for instagram we might have to like crop it right so you would have like two versions
570080	576800	um of the photo right like the original photo of whatever it is and then uh like a social specific
576800	583680	versions like an instagram specific version right to fit the whatever the photo like size needs to be
583680	589120	or maybe you want to put it onto the tjci website then you might have to do some more stuff with it
589120	595520	right like stretch it shrink it something like that so holly and i felt that we should add this kind of
596400	602960	descriptor to the end of it and then that way we can also restrict who can download it right so you
602960	607840	can't download the original but you can download the derivatives if you ever need to use the
607840	620320	derivatives for whatever reason basically yeah um yeah any question on that part that sounds good
622160	626960	okay yeah um holly is there anything you want to add to this section before i go on to the research part
626960	635760	uh no no no okay sounds good um yeah so another thing we had to do um was to research kind of the
635760	643760	integrations um or not integrations just like the other um stuff to do with the with resource space
643760	650480	right um there were some questions and then i think it's worth doing so yeah um so i checked if
650480	656560	there's a google drive integration so there is something that lets you pull the files directly from
656560	662000	google drive into resource space without downloading it but it looks like you have to run a cyber server
662000	667040	um so yeah not going to work for us especially since we don't have that set up so we're probably going
667040	672000	to have to do the old way of you know you just download all the files and then we just put them in and then
672000	680160	use an lm or just manually put in the details unfortunately and then um the second thing was i know
680160	687120	we talked about a like backup or automatically putting it back into google drive um so that way
687120	691680	we have two copies right one in resource space one in google drive if you ever need so i was trying to
691680	697360	check and it looks like there is no native plugin for that sorry by native plugin i mean there's no way
697360	703600	for you to like there's no um thing that they provide that will just instantly work out of the box
703600	707360	right like you just download it and then you run it and then it works there's nothing like that
708080	715600	we would have to probably like do it ourselves basically all right so one of the so there's
715600	720720	like three options technically but i don't really consider number two an option because you basically
720720	726000	have to go through a middleman and then most of the middleman software stuff is like paid right so
726720	732960	not really an option if you want to keep this low cost um yeah so realistically only two options so the
732960	741680	first one is you mix um apis and web hooks um to break that down an api is basically something that
741680	748640	gives us access to like resource-based functionalities um if we want to do it not in resource space so for
748640	755920	example um it will be like ways to maybe something like bulk import something into resource space without
755920	761680	ever opening um this tab you just pull up like a command terminal or something and then you run the like
761680	766320	run the script or you run the code and then it will do something with resource space basically
767200	776560	yeah and then a web hook is a similar idea in that um you can like just basically do it over the web and
776560	781200	then it'll notify resource space or it'll pull some sort of resource-based feature like uploading
781840	788160	yeah so in this case it would be basically when you go to resource space and you upload a file right so let's
788160	794080	say i upload the file of my dog right then it would basically send like um i guess you can call it a
794080	801280	notification right it will basically send a notification um to our custom script right um and then the the
801280	807600	custom script would like receive a notification they'd be like okay now that i've been notified then i know to
807600	813840	upload this file also to google drive right because google drive also has their own um code system that you can
813840	819360	pull from basically yeah so the entire thing would be like i upload my picture to resource space
819360	825040	resource space and the notification to the script um the script sends the notification to google drive and
825040	832800	then uploads it there essentially um is the first option and then the second option is um we use something
832800	840800	called r clone yeah so i won't go into detail but our clone basically um it's kind of like a data dump
840800	846880	they'll pull all the they'll pull all the files and then you can just run that on your own computer
847840	856560	right um so it would be a little bit more complicated since we would have to um change where resource space
856560	861680	stores the the files or we'd have to have like dedicated um folders for the photos but once we have the
861680	869600	dedicated folders um then you can basically use our code to just copy all the files and then you run it on a
869600	874960	schedule and it would automatically upload it back to google drive right so if we do go forward with
874960	880240	like the backup plan then we would we would probably already be using something like our code so we would
880240	889120	just have to set a schedule for it to basically upload it into google drive essentially sorry i i hope
889120	894160	that made sense i broke down the terminology well uh is there any questions on the google drive part
894160	898160	uh no question
900800	906400	okay uh sounds good if there's no questions from anybody else then um you can move on to the amazon
906400	912880	integration um i know we talked a lot about amazon and like amazon s3 um last time so i looked into that
912880	920400	too um so amazon s3 is essentially the same as google drive um where again there's like middleware platforms
920400	928400	right i don't want to do that um you can just mix in the resource space um api with the amazon s3 api or
928400	935360	you can do something similar with our clone where you just like schedule the file upload back into
936240	942480	amazon s3 yeah i have less experience with amazon s3 so i don't really know the specifics but um it
942480	949440	should work almost exactly the same way as google drive essentially um yeah just amazon s3 would be like
949440	954240	pure storage of course right so while the google drive would allow so for some like very limited
954240	965760	like browsing stuff s3 would just be storage only as far as i'm aware yeah um any questions on the amazon part
969440	974480	okay that's good um yeah and then the next part was um quad flare integration so
974480	983200	um this part's a little bit more important um yeah i'm not sure how aware you guys are of like
983200	988480	what cloud flare is and to be honest i'm not like the most advanced in cloud flare either but what cloud
988480	997120	flare does is it basically gives you like a url for people to access the site right so basically you
997120	1003040	would launch it on your own local version right so and you can see um it's running on my local so the url is
1003040	1010240	like local host a local host right you can see in that url but the word cloud cloud flare would do it
1010800	1018720	is that it would give you like a new like domain name or like a url name and then just by accessing
1018720	1025440	that url people can then go into the resource space so i believe if you're since the back end is hooked up
1025440	1031120	to your local if the local does not run then people cannot access um the website which is why we were
1031120	1038480	talking about like leaving the computer on before um yeah i i feel like we have a cloud flare domain
1038480	1044000	since um i know when i go to the end of the library and i try to scrape stuff there's a cloud flare
1044000	1048880	like pop-up that appears so i feel like we have a domain name and then that way we can maybe just like
1048880	1055360	integrate it into something to do with cloud flare but um i haven't done like the most research into that
1055360	1061040	since i don't know if that's something we want to do like i think we probably need to do it to let more
1061040	1069120	people access but yeah not too sure um on that part regarding the decisions yeah um any questions on that
1069120	1069360	part
1069360	1082480	um so you know for cloud cloud uh flare um you're saying that's used to provide an url yeah so cloud
1082480	1090160	flare is basically um yeah so it would give you like uh oh wait actually all right sorry yeah sorry
1090160	1096240	uh i just thought something yeah cloud flare is basically kind of like uh i don't know web hosting
1096240	1101120	is the right word but it would let people also access it because right now i don't think you
1101120	1105280	guys can access it because this is running on my own local version right so if you guys try to put
1105280	1111120	this in it would open up your own like local house part on your own pc which wouldn't lead you anywhere
1111120	1116240	because it's not open right it's not leading anywhere so i think you would need uh kind of like a middleman
1116240	1120720	or like cloud flare or something like that to access like a broader internet and then let people
1120720	1129200	access it i believe that's the correct way okay yeah um sorry the other thought i had was that um
1129200	1133840	i might be running into the cloud flare pop-up because we use google sites right google sites might
1133840	1141360	already be running through cloud flare which is why um we have that issue yeah so in that case then um
1141360	1147840	it might be a little bit more complicated since for cloud play you need to kind of have like a domain
1147840	1154080	name basically you need to pay them for url to like use their space basically so yeah again we're running
1154080	1160560	into that like payment issue right um i i feel like we had something to do with cloud flare um up there in
1160560	1165360	the pricing uh it's yeah i don't really want to find it right now but yeah i think we had a pricing for
1165360	1172320	that but yeah basically you're just like it's almost like you're paying for like a spot i like spectrum
1172320	1176320	right you're like paying for that storefront so people can go into your store otherwise you're just
1176320	1180720	operating like out of the back of your car right it's very hard to find but if you go to spectrum
1180720	1186240	and then you pay spectrum for that store for that like domain name then people can more easily access
1186240	1193760	into that website um if that example makes sense to you guys yeah um if we feel that we're at that point
1193760	1199520	where we can have that discussion with it i think we can um so yeah you know how we have a lot of like
1199520	1208640	service dot pdc dot org right order dot pdc dot org yeah um we yeah so we can we can have something
1208640	1214800	like that but uh the other question i'm not sure how to answer as well is like the whole server situation
1215600	1221520	um yeah is is it possible for it not to run locally is there some kind of uh
1221520	1231680	uh other other options other than a local circle um i can do some more research into that too um
1232480	1236880	i believe when holly and i were looking it was either you run it locally or you run it in cloud
1236880	1243360	or you run it on the cloud on resource space's own like cloud storage thing so that would probably be
1243360	1248400	permanently online but again since you're using resource space's cloud thing then you're gonna have to pay for
1248400	1255520	that too right yeah but it is part of the resource space right like there's something that there's
1255520	1260320	some third party is that right uh it's their own resource space actually so it would it would be first
1260320	1266080	party because it's resources space's own cloud thing oh okay yeah so they already have their own
1266080	1270640	they offer their own cloud hosting kind of service that if you guys want we can like look into also
1271760	1278080	yeah uh yeah holly and i doing sorry holly oh sorry they're going so resource space
1278400	1286080	uh if you do i think if i remember correctly is if it is free for like less than 10 gigabytes i think
1287120	1292320	uh it's just for our testings because in the future it's just more and more and then
1293280	1299600	uh so the virtual machines i think they can do that that's why i was looking for azure and
1299600	1311360	uh oracle but oracle is out of stock and as there was some student free credits something
1314320	1323680	okay yeah but yeah that's why you they they ask us to like pay hundreds thousands a year for their
1323680	1334960	services because they are hosting those for us yeah because if you do it local you also need to pay something
1334960	1348960	uh don't look like research spreads it's too expensive yeah that's great i never considered it
1352240	1356080	yeah sorry so that's why like yeah how are you and i like we knew there was a cloud option but that's
1356080	1360720	why we were only looking at the local option because we wanted to like keep costs down right so we thought
1360720	1367120	it would be cheaper to just keep the pc running compared to getting a cloud server or something like
1367120	1380480	that yeah yeah so that that might be a bottleneck we need to clear um because i don't know how like the
1380480	1393040	ga can manage like a computer running yeah yeah okay okay so maybe if you feel that we're ready to have
1393040	1400560	that discussion with ip we can have yeah that's a question but we can um ask joseph first and then if
1400560	1410080	you need to bring other workers um you can or maybe they can have their own discussion but um i think if
1410080	1418640	we're ready here we can talk to at least um yeah about these kind of questions okay yeah sounds good uh for
1418640	1424560	sure we can do some more uh research but yeah that's it for the naming and then like integration parts so
1424560	1434480	like any last minute questions before we move on to holly's part not from you okay um sounds good in that
1434480	1447040	case uh holly saw you man okay i need to open up the screen share okay access
1447040	1462960	wait wait i need to reopen sorry that's okay yeah
1471680	1476320	about sharing screen one but yeah it was pretty fast to run resource space so it shouldn't be that bad
1476320	1481440	either we do need to like boot it on yeah
1494320	1495040	you can see right
1498080	1499840	yep music yeah
1499840	1510480	so i'm trying to get here like to like white the color to white the worries i haven't done that yet
1512000	1516960	but i just want to put like this kind of face here and then
1518960	1520880	so you can select like different
1523200	1529600	how many photos you want in one page and then so this is just what we mentioned like
1529600	1536880	the naming things like the derivatives like the small sizes so we already
1538560	1541840	get like you don't need to know like the actual size of each
1544240	1553360	we need to replace this with the maybe some better versions maybe and then you can do different
1554000	1558160	it's for like here you can just search different things
1562160	1562720	um
1562720	1563920	um
1563920	1563920
1563920	1563920
1563920	1563920
1563920	1565920	um
1565920	1569600	i hope it works here searching but i don't think it really works
1571040	1572800	oh it works okay perfect
1572800	1578640	i think these are just placeholder or something
1582160	1585520	yeah but when you search everything can pop up and then
1586880	1595520	um so here's filters and yeah we still need to work on this but it is the structures here
1595520	1599120	you can select like different things
1603760	1604080	and
1609600	1614480	we also need to fix this and you can see all the data here
1614480	1620720	uh
1621600	1629200	and you can uh to if you find something like not right you can just request it
1630400	1634640	admin or i think admin or reviewers we can discuss on that
1634640	1641120	uh so when you go to the review queue i think it will be here
1645600	1647200	yeah i don't know why mine is so slow
1650800	1653040	it's somewhere but not here
1655680	1659760	i was playing around late like this it was here
1659760	1661600	uh
1661600	1661920	and
1665120	1665360	yeah
1667600	1673760	i also have different collections where right now they really work but
1675840	1682640	you can see like uh we really need to go to something specific orders you can find it
1682640	1696320	and here's the upload um yeah we also need to fix that like i guess i don't think people want to put so many things
1698640	1702160	they don't want to upload this but just the required ones
1702160	1714640	and for different yeah they're just all too much worry but that's what they need to do and then we can just submit
1716800	1720160	and these are just for amy's
1720160	1735120	uh just it's here because in the exhibit but we still need to uh do like a lot of research and
1735760	1746160	trying to figure out what it what is what
1746160	1750160	yeah
1751680	1755680	yeah maybe here is someone they want to get this
1756240	1763120	approved but they don't have that like the rights or something so they can use so they will get
1764640	1769200	kind of notification or something requests so they can just approve them
1769200	1771600	they can just
1771600	1771920	it's just
1771920	1774400	everything just here but
1775360	1777600	it's a lot to do so
1778640	1779280	here um
1781040	1783920	if a lot of things you can view
1785360	1786640	but
1786640	1788000	we just need really
1788800	1790480	need more time to work on
1791440	1793840	all the details because this is what real
1793840	1800720	them should be like they have different things so you can see seven and then
1802720	1806640	you have different different things so when it search
1808000	1811280	you can just get it's just much much helpful
1811280	1827200	oh this is a metadata by like small small details and this is admin so
1829200	1836080	you can see the most things but when you're real use normal user you don't see this much
1836080	1838080	um
1839520	1845360	it's just here but we just need to take time to work on every details
1847280	1848800	so help center
1850720	1854400	it's too ai but the things are here
1854400	1866640	yeah not too much things but yeah like this works much better than last week much much more details
1868560	1870880	heli did you have to customize a lot of these
1872160	1873280	what what's the last one
1874560	1879440	did you have to customize a lot of what you just showed us like basically all the
1879440	1888080	functions under workflow um so you know like uh all the air right now they can do like long deep
1888080	1896000	search for like 10 minutes 20 minutes and they have like research reports so i just feed them to ai and
1897040	1903520	they will come out with all these like small small details but yeah you know it's very in general but we
1903520	1912560	just need more time to do everything in details so this part is just so in our style
1913920	1922080	you can press command k or control k you can get a search function so there are some websites you just
1922080	1930480	copy the prompt and just tell it get copy paste and you will come up with this uh this is from this is from
1930480	1939600	our identity.tcc.org or us something so and this is like this view or like great view or something
1940400	1947920	and this is also copy paste i just tell uh you need to have one here oh i remember i said i need one here
1947920	1955280	but i don't know why it's gone yeah i just did it um like off nowhere
1955280	1963520	so like for this screen did you have to customize like those type of things like for example that per
1963520	1974160	page that drop down did you did you customize those four numbers no yeah just decide but it's better like
1974800	1980320	it's pretty good like you have five and you can just scroll six rows
1980320	1991280	uh sorry just to clarify real quick um uh yeah it's kind of is has to be like customized a little
1991280	1996160	bit it uses the resource space like back end but since this is just a ui it's just kind of like a skin
1996160	2003200	covering and then we just uh uh how they just kind of ask the llm like how to basically like put on the
2003200	2007840	like basically asked how to put on makeup for it so back end still works with resource space these are
2007840	2011680	most of these are based like resource space functionalities they're just like integrated
2011680	2018320	and made to look like a little bit better okay i'll back with it yeah it does and then when heli says
2018320	2024800	there still needs a lot of work what is that referring to like when i click something it doesn't really work
2026080	2033120	uh-huh so somehow the function needs to be linked up right still yeah it's okay we have things here but
2033120	2045600	they only have to just outside the inside doesn't work and is uh once let's say the piles are loaded
2046240	2053120	into the back end like what what kind of work needs to happen for for it to actually work work
2053120	2065680	uh so let's say someone upload something here so what i want to do is just they can just upload maybe but
2067680	2075040	everything should be like default or something like you get a date default by accessing the metadata files
2075040	2081200	and then uh the reviewers will decide like different things
2085200	2094560	so right now if someone submits something um they can submit by by using this page and then whatever they
2094560	2100160	typed into those fields that you just show in like it's number one cat number one yeah like all those
2100160	2106800	things will get recorded into the into the um database right now like the one that we created vocal
2108240	2120080	yeah like what we want is so you just upload here and then it will get oh yeah um it will be like in
2120080	2129520	the places we want to store them and then uh but they just put on like different things like so that
2129520	2139600	uh the reviewers will know when when when where what and then if you need something specific for different use
2141120	2151200	for different places or it's only for internal or maybe it's better like print something and then uh
2151200	2160160	uh yeah reviewers will decide whether this should be on but most i think most of the time and everything
2160160	2168080	just on just make sure there's no like copyright stuff uh just make sure they take pictures by themselves
2168080	2180080	so just just just a very rough idea like how long would it take to build this so that it's functional
2180720	2181520	fully functional
2184000	2192800	i hope it's working but it really depends on ai like like they say so much like every time i just tell it
2192800	2200240	oh you need to get this down like demo down or like you need to make this like version one but like
2201120	2207920	in the end they're just running for like five hours ten hours okay and like doing nothing
2208720	2217040	uh all right it's doing in the back but i don't really see it right right because like i every time i
2217040	2225840	like before i go eat i just uh here's a task that you can run for like hours and before i go out or
2226400	2235040	one wake up or before i sleep i just run this for like 12 hours i don't really know what to do it
2235040	2246320	okay okay okay so it it it may be functioning uh but probably there's still things that need to be
2247760	2253120	either cleaned up or like yeah i mean if anything to be clean out like right now it's just very sore ai
2254800	2257840	i look at this every day so it's just very very ai
2257840	2269120	we don't really need those in actual pages i still need to view all the uh those damn youtube videos and
2269680	2277040	trying to do this and also like their search functions like they already have like ai searching
2277040	2282960	back in like seven years ago like 2019 there is much much cleaner
2282960	2294240	okay so it's more like kind of simplifying it from what you have right now
2294800	2298640	yeah around a bit of that work yeah you don't want to see this much finish
2303520	2309600	this is too hard oh and that part you asked ai to do like it's like oh simplify this part keep
2309600	2314960	only this something like that kind of like that but you need to be very very specific because
2316480	2323600	like i said you just wait for one hour and it's either not doing anything you can see or it's doing
2324320	2325840	it's making it much worse
2328080	2335040	okay i see but if sometimes like when i be very specific like this like i copy paste this
2335040	2352880	like i need all the damp uh features most important things here like so it's here but when but this
2352880	2357760	still makes no sense here because everything is here while they are all here
2357760	2364560	it's just too busy here and the colors
2369920	2373760	just need more time and hopefully i will get it done
2377760	2382800	and yeah because there are many like blockers on if i want to get it on
2382800	2390000	car or somewhere hosted for free for small batch of like internal testings
2390960	2397280	yeah i also need to go to those different websites to get them down like oracle is out of stock
2398640	2409600	right right oh i'm gonna jump ahead and ask my question um to jackie jackie currently how easy it
2409600	2418560	is it to get like the non um non-kdc specific photos like if people want photos of flowers of like ocean like
2419200	2427680	is it did there's just so many places to get those for free nowadays um yeah actually yes it's it's pretty
2427680	2437840	easy to get those okay so i'm starting to wonder for our stock media whether we should really just
2437840	2442640	narrow down to those things that we can't get outside
2446000	2454000	so like our sources just the free uh resources outside and like uh some member pictures
2455760	2461680	like for example flowers right maybe that's not something we need to put in our stock media
2461680	2477440	yeah but when someone wants something they go outside and how can i make sure this is like no copyrights
2480000	2485280	yeah jackie do they usually clarify this is like free there's no copyright you do not need to acknowledge
2485280	2496640	um yeah um if you go to like a um stock photo site for example pexels or unsplash they will say
2496640	2502800	which ones you can use freely and which ones you have to pay royalty so usually like sites like getty
2502800	2506880	you'll have to pay royalties too um and then some sites like canva
2506880	2516160	um because we have a subscription that we don't actually pay for um but we do have like a pro version
2516160	2525200	because we're a non-profit we can use those licensed images um for our our use because we have a contract
2525200	2532800	with them so anything we get from for example canva um we are we are allowed to use because we have that
2532800	2540320	active subscription and um most of those images are uploaded by users anyway so it's not like canva is
2540320	2546000	hosting them so whoever's uploading them has also um given the rights they basically signed the rights
2546000	2551760	over to canva so that canva can redistribute those to whatever whichever users and we're one of those
2552640	2558640	um and i think it's also the same for pexels and unsplash where if you have that subscription or you
2558640	2564560	have that access then you can you can freely use it so i don't think it's very i don't know how that
2564560	2569440	one church ended up using like a copyright photo it must have been like something that was not very
2569440	2577680	stock in terms of the content so maybe it was like a specific location or a specific um something that
2577680	2584480	you can really tell that it's unique to like propriety um you need to like that one company or that one
2584480	2593360	entity yeah yeah so um that's kind of how i understand it like stock stuff should be like
2593920	2600320	either our own stock things that where you can't identify who the person is in the photo like you
2600320	2607440	can't see the face you can't really tell like from the back who they are um or like it's just it's like
2607440	2616080	church property like parts of the church property things like that or um another thing i do use quite
2616080	2622720	a lot just for church content is if it's like an ordained minister an ordained creature or deacon and
2622720	2627360	we know that they're full-time workers and um they have like a really good reputation then we just go
2627360	2636720	ahead and use that photo and we actually still try not to use like their full face um just for their
2636720	2646480	privacy as well but yeah things like that did that answer yeah okay sorry if i could ask a
2646480	2650720	question real quick would it be yeah i know it's kind of like a sensitive matter but would it be
2650720	2656400	possible to like get more details of what happened with that like copyright thing because if we have
2656400	2664720	more details then maybe we can try to plan around it or see if it's like even a concern because um yeah
2666720	2673440	yeah um i don't know too much detail but the when i got looked in is basically some kind of a nature
2673440	2684080	photo i think it was like some ocean type scene and it was just on a webpage um in the indonesian site and
2685040	2694080	um so so then we got a letter from like uh like a law firm saying that oh this is uh if this is
2694080	2704000	a copyrighted image um and then so they just demand that we pay them for using that image and so
2706880	2713120	yeah so we basically negotiated we settled for a lesser amount that we ended up paying them um
2713840	2723600	but they're yeah the whole premise is it was a copyrighted image and somehow our our worker found that
2724560	2729760	somewhere online and then just use it without realizing that if they did the copyrighted image
2732080	2737920	okay sounds good and then this is like in indonesia right not not us on our indonesian site but the you
2737920	2746000	know like people always well even the indonesia site if you look at it is still a tdc.org slash id something
2746000	2754400	like that right so basically all these legal issues still normally come through to ia um and then ia will
2754400	2762320	work with whichever respective ga right to resolve the issue um if the local gav need to be brought in
2762320	2769120	right so we had to like inform the indonesia ellen like uh you know take down the photo and we have
2769120	2778880	to figure out how to deal with the whole um the issue right the payment issue yeah yeah okay i see
2778880	2786480	yeah sounds good thanks um yeah i don't know if we can really do anything around that but yeah yeah
2786480	2792720	yeah i think i think more and more gays are are more getting more experience with you know like telling
2792720	2802160	how to make sure they use only the images that are copyright free right or that it's committed um my
2802160	2812080	only question is like i should be royalty free right royalty free right yeah um and so jesse the other
2812080	2816800	quick question i have also is like are there any of these photos where they said you have to include
2821840	2822960	on the photo itself
2826960	2835440	or much are free like you can just with use them without acknowledging that's a good question um
2835440	2846800	um i do okay so off the top of my head i do know that some of them um they highly encourage giving the
2846800	2853760	credit like signing the credit of where the photo is but from what i remember that was just highly
2853760	2860480	encouraged um just as a best practice sort of thing but i don't think i remember seeing that and
2860480	2868880	honestly when i use canva i don't i don't say anything but you can see um within canva who is the owner of
2868880	2877440	that photo um usually yeah so so they may not necessarily require us to use it right to to
2878160	2885680	to include that acknowledgement no absolutely not okay okay then that's good because that that would be
2885680	2894640	um that would be more of a reason why we want to have our own you know stock photos of flowers and
2894640	2901120	whatnot right if we have to acknowledge basically all of them or a lot of them um then we might as well
2902240	2909040	but like i think for music i believe that's usually still the case right we have to acknowledge yeah for
2909040	2915360	music it's a bit more strict about that okay so that so then that that's the reason why i was thinking
2915360	2924800	earlier um for stock photos do we because we can go we can really go all out we can have hundreds of
2924800	2931920	thousands of photos right so we're really opening it to like oh we should have trees we have we should
2931920	2940960	have flowers we should have right um pencil we should have yeah we can just go all out right versus
2941520	2947840	if we can really get those free photos so easily out there do we want to only focus on the ones that
2947840	2957200	we can't find outside right let's say baptism right baptism in like in living water right like in rivers
2957200	2964160	in oceans like those kind of photos and then you know with the person's head bowing down like do we want
2964160	2974480	to focus more on those kind of photos yeah i would really like to have a lot of those photos actually
2974480	2982640	i did request to annabelle for the ui ux and the graphic design team at mvp to um consider taking
2983200	2988800	pictures i actually i gave her a list so for example a group of people praying in the chapel with lots of
2988800	2994800	negative space and things like that or you know bible study outdoors cannot see the faces with a lot
2994800	3000400	of negative space things like that so i do request those um hopefully we can start building up a larger
3000400	3009840	library of that kind of content um i so i just took a look at canva it does say like for example i
3009840	3018320	searched up a flower pink uh peony bouquet on a sky background and it does tell me um who it's just
3018320	3024000	like a username who it's by it doesn't say the name and then it does say that this is pro content and
3024000	3034400	it's included with canva terms um so oh no sorry uh included with canva teams um and that's what we have
3034400	3044400	so yeah we it says canva teams subscribers get this image for free so oh it doesn't say anything about um
3044960	3052720	usage or like acknowledgement and you don't even know who it's from and interestingly enough um this is from getty images
3052720	3060160	so this is so i guess canva has access to getty images oh interesting
3063280	3065120	and usually getty images is not free
3070160	3077120	um i had a good question um say for example a lot of the projects like pocket calendars a lot of the
3077120	3085600	pictures are taken from our own stock photo library right that's right yeah and they're usually nature
3085600	3093040	oriented yeah i'm wondering if there are other projects like that are you suggesting that um
